centroid_x,centroid_y,mass,peak,plane_cp25_flux,plane_cp25_inventory,plane_cp50_flux,plane_cp50_inventory,plane_cp75_flux,plane_cp75_inventory,spread_x,spread_y,time,total_mass
49.49044073101137,48.18031169334864,1728.648220900866,14.17482416388676,147.1209945136895,31.08196578585392,173.221254886511,18.71987270216883,168.9241906318765,17.70970157747019,23.61366017484287,17.51236410455272,26.4,1728.648220900866
49.51188658391617,48.17749335585279,1730.513001412067,14.17482416388676,147.1209945136895,31.08196578585392,173.2502030612449,18.77243781663179,169.0310561457042,17.72762473210573,23.61690732214838,17.50834617181697,27.2,1730.513001412067
49.53172274693149,48.17509873916426,1732.266113262249,14.17482416388676,147.1209945136895,31.08196578585392,173.274695927433,18.81771797577325,169.1309967256403,17.74438365102768,23.61956792153465,17.50445091798329,28,1732.266113262249
49.5501606827078,48.17307350934095,1733.919620772919,14.17482416388676,147.1209945136895,31.08196578585392,173.2953028603449,18.85642971818835,169.224864157567,17.76013452494758,23.62173865565344,17.50067322144541,28.8,1733.919620772919
49.567365973706,48.17137600425445,1735.483296362876,14.17482416388676,147.1209945136895,31.08196578585392,173.3125496975071,18.88929811768274,169.313380437132,17.77500824934602,23.62349234814435,17.49700789250516,29.6,1735.483296362877
49.58347216516058,48.16997323549172,1736.965248840807,14.17482416388676,147.1209945136895,31.08196578585392,173.3269144694859,18.91702986315687,169.39717015955,17.78911682177822,23.62488575584113,17.49344981565945,30.4,1736.965248840807
49.59858989175638,48.16883817455611,1738.37234487766,14.17482416388676,147.1209945136895,31.08196578585392,173.3388255621565,18.94029389372378,169.4767815772605,17.80255755885002,23.6259646800698,17.48999406419508,31.2,1738.37234487766
49.61281293892059,48.16794792627829,1739.71049635344,14.17482416388676,147.1209945136895,31.08196578585392,173.348661937161,18.95970867405548,169.552701051237,17.8154160007366,23.62676731104314,17.48663598737467,32,1739.71049635344
49.62622231312906,48.16728250467473,1740.984860167573,14.17482416388676,147.1209945136895,31.08196578585392,173.3567549563418,18.97583498010166,169.6253634173114,17.82776798390848,23.62732641760193,17.48337127260111,32.8,1740.984860167573
49.63888901446496,48.16682401394913,1742.199980287578,14.17482416388676,147.1209945136895,31.08196578585392,173.3633913529638,18.98917302267268,169.6951596454034,17.83968115609898,23.62767078549215,17.48019598589459,33.6,1742.199980287578
49.6508759573863,48.16655610061293,1743.359891120809,14.17482416388676,147.1209945136895,31.08196578585392,173.3688169358159,19.00016280696674,169.762442580384,17.8512160971756,23.62782616688678,17.47710659438615,34.4,1743.359891120809
49.66223932707567,48.16646358661266,1744.468194540922,14.17482416388676,147.1209945136895,31.08196578585392,173.3732406788552,19.00918676164568,169.8275312479365,17.86242714964031,23.62781591137913,17.4740999745093,35.2,1744.468194540922
49.67302955762693,48.1665322231265,1745.528118638642,14.17482416388676,147.1209945136895,31.08196578585392,173.3768389231335,19.01657383518466,169.8907140473164,17.87336302889978,23.62766138858284,17.47117340926004,36,1745.528118638642
49.6832920539216,48.16674852466068,1746.542563566988,14.17482416388676,147.1209945136895,31.08196578585392,173.3797594892665,19.02260442484514,169.9522510647195,17.88406726383746,23.62738227371829,17.46832457739755,36.8,1746.542563566989
49.69306773792992,48.16709965643738,1747.514138128968,14.17482416388676,147.1209945136895,31.08196578585392,173.382125561947,19.0275156590923,170.0123756908415,17.89457850628667,23.62699674264923,17.46555153687409,37.6,1747.514138128968
49.70239347377698,48.16757335703109,1748.445189645037,14.17482416388676,147.1209945136895,31.08196578585392,173.384039260408,19.03150668922409,170.0712956965287,17.90493074049481,23.62652160681654,17.46285270419593,38.4,1748.445189645037
49.71130240882832,48.16815788426466,1749.337828910697,14.17482416388676,147.1209945136895,31.08196578585392,173.3855848498353,19.03474375719671,170.1291939020402,17.91515341882171,23.62597240819615,17.4602268308872,39.2,1749.337828910697
49.7198242568599,48.16884197649122,1750.19395156904,14.17482416388676,147.1209945136895,31.08196578585392,173.3868315792749,19.03736489430176,170.1862285632393,17.9252715466876,23.62536348773511,17.45767297779091,40,1750.19395156904
49.72798554192462,48.16961482419503,1751.015256889603,14.17482416388676,147.1209945136895,31.08196578585392,173.3878361530526,19.03948417163125,170.2425335888346,17.93530573749033,23.62470803638439,17.45519048761127,40.8,1751.015256889602
49.73580981644484,48.17046604875838,1751.803264707192,14.17482416388676,147.1209945136895,31.08196578585392,173.3886448567647,19.04119547127394,170.2982186944202,17.94527225635415,23.62401813501314,17.45277895588095,41.6,1751.803264707192
