centroid_x,centroid_y,mass,peak,plane_cp58_flux,plane_cp58_inventory,plane_cp70_flux,plane_cp70_inventory,plane_cp82_flux,plane_cp82_inventory,plane_cp90_flux,plane_cp90_inventory,spread_x,spread_y,time,total_mass
13950,13949.99999999999,10771150281.75191,1141.703159986453,0,1163794.570551851,0,100269.1019361574,0,396.6126370710174,0,8.958745848734676,2226.657554103295,2226.657554103277,1650,10771150281.75191
13950,13949.99999999999,9766635473.60832,1121.553074038521,0,1040918.649163199,0,91511.99891830038,0,375.9054971996644,0,8.639509465228704,2221.205765873755,2221.205765873736,1700,9766635473.60832
13950.00000000001,13950,8865619540.29987,1101.305093423772,0,931470.0243304548,0,83544.42773166012,0,356.2257360221071,0,8.329430300083208,2215.127036913803,2215.127036913782,1750,8865619540.299871
13950.00000000001,13950,8056966061.006516,1081.016701968686,0,833946.321022468,0,76293.14066021773,0,337.5271404374471,0,8.028382112390331,2208.383958970172,2208.38395897015,1800,8056966061.006516
13950.00000000001,13950,7330757127.45308,1060.738429802363,0,747014.390533224,0,69691.85754078542,0,319.7651663770836,0,7.736231234661568,2200.940820059422,2200.940820059399,1850,7330757127.453081
13950.00000000001,13949.99999999999,6678161618.645708,1040.514599547384,0,669491.7087466689,0,63680.58891238213,0,302.8969146274532,0,7.45283730925008,2192.763784789232,2192.763784789208,1900,6678161618.645709
13950.00000000001,13950,6091316781.114569,1020.383993626135,0,600329.6317735299,0,58205.02600684675,0,286.8811033099207,0,7.17805399683976,2183.821102075507,2183.821102075481,1950,6091316781.114569
13950.00000000001,13949.99999999999,5563222048.916135,1000.380451105357,0,538598.3794694649,0,53215.99090726662,0,271.6780374694279,0,6.911729656108241,2174.083336179562,2174.083336179535,2000,5563222048.916135
13950.00000000001,13949.99999999999,5087644046.397573,980.5334015307859,0,483473.6093647518,0,48668.9408696334,0,257.2495761892345,0,6.653707993925627,2163.523616104249,2163.523616104222,2050,5087644046.397573
13950.00000000001,13950,4659031750.259438,960.8683423847226,0,434224.4423258708,0,44523.52140535968,0,243.5590976162844,0,6.403828685679981,2152.117897662584,2152.117897662554,2100,4659031750.259438
13950.00000000002,13950,4272440837.856133,941.4072660914211,0,390202.8046152839,0,40743.16326439252,0,230.5714622504659,0,6.16192796552539,2139.845231929982,2139.845231929951,2150,4272440837.856135
13950.00000000001,13950,3923466309.586004,922.1690418729448,0,350833.9572972945,0,37294.71894651866,0,218.2529748213195,0,5.927839186531136,2126.68803330662,2126.688033306588,2200,3923466309.586004
13950.00000000002,13950,3608182539.777504,903.1697572056186,0,315608.0919838694,0,34148.13480741225,0,206.5713450476054,0,5.701393350872098,2112.632340062427,2112.632340062394,2250,3608182539.777505
13950.00000000001,13950,3323089979.087681,884.4230231334669,0,284072.8808902592,0,31276.15522086318,0,195.4956475485566,0,5.482419610343531,2097.66806003506,2097.668060035026,2300,3323089979.08768
13950.00000000002,13950,3065067799.541791,865.9402472522428,0,255826.8784925152,0,28654.0556138118,0,184.9962811506118,0,5.270745737607911,2081.789194124867,2081.789194124832,2350,3065067799.541792
13950.00000000002,13950,2831331839.21441,847.7308777799469,0,230513.6813489692,0,26259.40151025924,0,175.0449278099152,0,5.066198568690556,2064.994030402281,2064.994030402246,2400,2831331839.21441
13950.00000000002,13950,2619397266.051634,829.8026217723158,0,207816.7616023652,0,24071.83100739099,0,165.614511348839,0,4.868604417334135,2047.285302029245,2047.285302029209,2450,2619397266.051633
13950.00000000002,13950,2427045438.787026,812.1616402205854,0,187454.8981535887,0,22072.85836556808,0,156.6791561842267,0,4.677789461902059,2028.670302805541,2028.670302805504,2500,2427045438.787026
13950.00000000002,13949.99999999999,2252294496.968001,794.8127224803922,0,169178.137397095,0,20245.69662610687,0,148.2141462058716,0,4.493580105588092,2009.160954981799,2009.160954981762,2550,2252294496.968001
13950.00000000003,13950,2093373261.678492,777.7594422218393,0,152764.2226868864,0,18575.09737961136,0,140.1958839459408,0,4.31580331074506,1988.773825020136,1988.773825020098,2600,2093373261.678492
13950.00000000002,13950,1948698073.675053,761.004296858601,0,138015.4383491591,0,17047.20599539601,0,132.6018501635271,0,4.144286908190822,1967.530084205487,1967.530084205448,2650,1948698073.675052
